Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,popular,320,0.034,,,,,,0.07442173265131388,0.045454545454545456,22,0.045454545454545456
5,popular,359,0.003,,,,,,0.0,0.0,,0.0
5,popular,1387,0.003,,,,,,0.2857084937557778,1.0,1,1.0
5,popular,1741,0.003,,,,,,0.0,0.0,,0.0
5,popular,1835,0.004,,,,,,0.0674484386608322,0.047619047619047616,21,0.047619047619047616
5,popular,1935,0.004,,,,,,0.08686782747530221,0.058823529411764705,17,0.058823529411764705
5,popular,2847,0.004,,,,,,0.026587694879830818,0.0625,16,0.0625
5,popular,2945,0.003,,,,,,0.11871251974610986,0.16666666666666666,6,0.16666666666666666
5,popular,3665,0.004,,,,,,0.18636453246633478,0.12916666666666665,8,0.125
5,popular,5450,0.004,,,,,,0.0,0.0,,0.0
5,popular,5611,0.004,,,,,,0.07827091288367895,0.07142857142857142,14,0.07142857142857142
5,popular,6116,0.004,,,,,,0.0,0.0,,0.0
5,popular,7880,0.003,,,,,,0.0,0.0,,0.0
5,popular,8335,0.004,,,,,,0.11416596671450628,0.14285714285714285,7,0.14285714285714285
5,popular,9197,0.003,,,,,,0.0,0.0,,0.0
5,popular,11337,0.004,,,,,,0.39481642801790606,0.5833333333333334,1,1.0
5,popular,12288,0.003,,,,,,0.34020957349579334,0.7,1,1.0
5,popular,13927,0.004,,,,,,0.4161719527856184,0.6666666666666666,1,1.0
5,popular,14947,0.004,,,,,,0.2974085580687332,1.0,1,1.0
5,popular,16581,0.003,,,,,,0.12058400966154849,0.08571428571428572,14,0.07142857142857142
5,popular,18115,0.003,,,,,,0.0,0.0,,0.0
5,popular,18192,0.003,,,,,,0.25432872990493677,0.26666666666666666,3,0.3333333333333333
5,popular,18204,0.004,,,,,,0.0,0.0,,0.0
5,popular,18675,0.003,,,,,,0.0,0.0,,0.0
5,popular,18758,0.003,,,,,,0.06250588901030768,0.05555555555555555,18,0.05555555555555555
5,popular,19178,0.004,,,,,,0.21832580704516574,0.5,2,0.5
5,popular,19414,0.003,,,,,,0.0,0.0,,0.0
5,popular,19800,0.003,,,,,,0.07324336835448418,0.058823529411764705,17,0.058823529411764705
5,popular,21401,0.004,,,,,,0.0,0.0,,0.0
5,popular,22245,0.003,,,,,,0.0,0.0,,0.0
5,popular,22352,0.002,,,,,,0.0,0.0,,0.0
5,popular,22483,0.003,,,,,,0.0,0.0,,0.0
5,popular,23068,0.002,,,,,,0.0,0.0,,0.0
5,popular,23638,0.003,,,,,,0.4288335887996873,0.3333333333333333,2,0.5
5,popular,24112,0.002,,,,,,0.0,0.0,,0.0
5,popular,26022,0.008,,,,,,0.0,0.0,,0.0
5,popular,27142,0.006,,,,,,0.31552605570716175,1.0,1,1.0
5,popular,27579,0.006,,,,,,0.07879805835890447,0.1,10,0.1
5,popular,28176,0.003,,,,,,0.06098565371856134,0.043478260869565216,23,0.043478260869565216
5,popular,29115,0.008,,,,,,0.0,0.0,,0.0
5,popular,30631,0.003,,,,,,0.18312916972585014,0.3333333333333333,3,0.3333333333333333
5,popular,31362,0.003,,,,,,0.4507089564709021,0.75,1,1.0
5,popular,31476,0.003,,,,,,0.07065969216996659,0.045454545454545456,22,0.045454545454545456
5,popular,32780,0.002,,,,,,0.0,0.0,,0.0
5,popular,32785,0.003,,,,,,0.0,0.0,,0.0
5,popular,34156,0.002,,,,,,0.11070032101737082,0.2,5,0.2
5,popular,34239,0.003,,,,,,0.49687061050615916,0.5833333333333333,2,0.5
5,popular,34664,0.003,,,,,,0.22496465527772083,0.14583333333333331,6,0.16666666666666666
5,popular,35259,0.003,,,,,,0.0,0.0,,0.0
5,popular,36229,0.003,,,,,,0.0,0.0,,0.0
5,popular,36624,0.003,,,,,,0.0,0.0,,0.0
